IDLOCAL;LOCAL
137403;2.A1.06.22.05.05
137405;2.A1.06.22.06.01
137406;2.A1.06.22.06.02
137408;2.A1.06.22.06.04
137409;2.A1.06.22.06.05
137412;2.A1.06.23.01.01
137413;2.A1.06.23.01.02
137415;2.A1.06.23.01.04
137416;2.A1.06.23.01.05
137418;2.A1.06.23.02.01
137419;2.A1.06.23.02.02
137421;2.A1.06.23.02.04
137422;2.A1.06.23.02.05
137424;2.A1.06.23.03.01
137425;2.A1.06.23.03.02
137427;2.A1.06.23.03.04
137428;2.A1.06.23.03.05
137430;2.A1.06.23.04.01
137431;2.A1.06.23.04.02
137433;2.A1.06.23.04.04
137434;2.A1.06.23.04.05
137436;2.A1.06.23.05.01
137437;2.A1.06.23.05.02
137439;2.A1.06.23.05.04
137440;2.A1.06.23.05.05
137442;2.A1.06.23.06.01
137443;2.A1.06.23.06.02
222280;2.C2.05.04.03.01
222281;2.C2.05.04.03.02
222283;2.C2.05.04.03.04
222284;2.C2.05.04.03.05
222286;2.C2.05.04.04.01
222287;2.C2.05.04.04.02
222289;2.C2.05.04.04.04
222290;2.C2.05.04.04.05
222292;2.C2.05.04.05.01
222293;2.C2.05.04.05.02
222295;2.C2.05.04.05.04
222296;2.C2.05.04.05.05
222298;2.C2.05.04.06.01
222299;2.C2.05.04.06.02
222301;2.C2.05.04.06.04
222302;2.C2.05.04.06.05
222305;2.C2.05.05.01.01
222306;2.C2.05.05.01.02
222308;2.C2.05.05.01.04
222309;2.C2.05.05.01.05
222311;2.C2.05.05.02.01
222312;2.C2.05.05.02.02
222314;2.C2.05.05.02.04
222315;2.C2.05.05.02.05
222317;2.C2.05.05.03.01
222318;2.C2.05.05.03.02
222320;2.C2.05.05.03.04
222321;2.C2.05.05.03.05
222323;2.C2.05.05.04.01
222324;2.C2.05.05.04.02
222326;2.C2.05.05.04.04
222327;2.C2.05.05.04.05
222329;2.C2.05.05.05.01
222330;2.C2.05.05.05.02
222332;2.C2.05.05.05.04
222333;2.C2.05.05.05.05
222335;2.C2.05.05.06.01
222336;2.C2.05.05.06.02
222338;2.C2.05.05.06.04
222339;2.C2.05.05.06.05
222342;2.C2.05.06.01.01
222343;2.C2.05.06.01.02
222345;2.C2.05.06.01.04
222346;2.C2.05.06.01.05
222348;2.C2.05.06.02.01
222349;2.C2.05.06.02.02
222351;2.C2.05.06.02.04
222352;2.C2.05.06.02.05
222354;2.C2.05.06.03.01
222355;2.C2.05.06.03.02
222357;2.C2.05.06.03.04
222358;2.C2.05.06.03.05
222360;2.C2.05.06.04.01
222361;2.C2.05.06.04.02
222363;2.C2.05.06.04.04
222364;2.C2.05.06.04.05
222366;2.C2.05.06.05.01
222367;2.C2.05.06.05.02
222369;2.C2.05.06.05.04
222370;2.C2.05.06.05.05
222372;2.C2.05.06.06.01
222373;2.C2.05.06.06.02
222375;2.C2.05.06.06.04
222376;2.C2.05.06.06.05
222379;2.C2.05.07.01.01
222380;2.C2.05.07.01.02
222382;2.C2.05.07.01.04
222383;2.C2.05.07.01.05
222385;2.C2.05.07.02.01
222386;2.C2.05.07.02.02
222388;2.C2.05.07.02.04
222389;2.C2.05.07.02.05
222391;2.C2.05.07.03.01
222392;2.C2.05.07.03.02
222394;2.C2.05.07.03.04
222395;2.C2.05.07.03.05
222397;2.C2.05.07.04.01
222398;2.C2.05.07.04.02
222400;2.C2.05.07.04.04
222401;2.C2.05.07.04.05
222403;2.C2.05.07.05.01
222404;2.C2.05.07.05.02
222406;2.C2.05.07.05.04
222407;2.C2.05.07.05.05
222409;2.C2.05.07.06.01
222410;2.C2.05.07.06.02
222412;2.C2.05.07.06.04
222413;2.C2.05.07.06.05
222416;2.C2.05.08.01.01
222417;2.C2.05.08.01.02
222419;2.C2.05.08.01.04
222420;2.C2.05.08.01.05
222422;2.C2.05.08.02.01
222423;2.C2.05.08.02.02
222425;2.C2.05.08.02.04
222426;2.C2.05.08.02.05
222428;2.C2.05.08.03.01
222429;2.C2.05.08.03.02
222431;2.C2.05.08.03.04
222432;2.C2.05.08.03.05
222434;2.C2.05.08.04.01
222435;2.C2.05.08.04.02
222437;2.C2.05.08.04.04
222438;2.C2.05.08.04.05
222440;2.C2.05.08.05.01
222441;2.C2.05.08.05.02
222443;2.C2.05.08.05.04
222444;2.C2.05.08.05.05
222446;2.C2.05.08.06.01
222447;2.C2.05.08.06.02
222449;2.C2.05.08.06.04
222450;2.C2.05.08.06.05
222453;2.C2.05.09.01.01
222454;2.C2.05.09.01.02
222456;2.C2.05.09.01.04
222457;2.C2.05.09.01.05
222459;2.C2.05.09.02.01
222460;2.C2.05.09.02.02
222462;2.C2.05.09.02.04
222463;2.C2.05.09.02.05
222465;2.C2.05.09.03.01
222466;2.C2.05.09.03.02
222468;2.C2.05.09.03.04
222469;2.C2.05.09.03.05
222471;2.C2.05.09.04.01
222472;2.C2.05.09.04.02
222474;2.C2.05.09.04.04
222475;2.C2.05.09.04.05
222477;2.C2.05.09.05.01
222478;2.C2.05.09.05.02
222480;2.C2.05.09.05.04
222481;2.C2.05.09.05.05
222483;2.C2.05.09.06.01
222484;2.C2.05.09.06.02
222486;2.C2.05.09.06.04
222487;2.C2.05.09.06.05
222490;2.C2.05.10.01.01
222491;2.C2.05.10.01.02
222493;2.C2.05.10.01.04
222494;2.C2.05.10.01.05
222496;2.C2.05.10.02.01
222497;2.C2.05.10.02.02
222499;2.C2.05.10.02.04
222500;2.C2.05.10.02.05
222502;2.C2.05.10.03.01
222503;2.C2.05.10.03.02
222505;2.C2.05.10.03.04
222506;2.C2.05.10.03.05
222508;2.C2.05.10.04.01
222509;2.C2.05.10.04.02
222511;2.C2.05.10.04.04
222512;2.C2.05.10.04.05
222514;2.C2.05.10.05.01
222515;2.C2.05.10.05.02
222517;2.C2.05.10.05.04
222518;2.C2.05.10.05.05
222520;2.C2.05.10.06.01
222521;2.C2.05.10.06.02
222523;2.C2.05.10.06.04
222524;2.C2.05.10.06.05
222527;2.C2.05.11.01.01
222528;2.C2.05.11.01.02
222530;2.C2.05.11.01.04
222531;2.C2.05.11.01.05
222533;2.C2.05.11.02.01
222534;2.C2.05.11.02.02
222536;2.C2.05.11.02.04
222537;2.C2.05.11.02.05
222539;2.C2.05.11.03.01
222540;2.C2.05.11.03.02
222542;2.C2.05.11.03.04
222543;2.C2.05.11.03.05
222545;2.C2.05.11.04.01
222546;2.C2.05.11.04.02
222548;2.C2.05.11.04.04
222549;2.C2.05.11.04.05
222551;2.C2.05.11.05.01
222552;2.C2.05.11.05.02
222554;2.C2.05.11.05.04
222555;2.C2.05.11.05.05
222557;2.C2.05.11.06.01
222558;2.C2.05.11.06.02
222560;2.C2.05.11.06.04
222561;2.C2.05.11.06.05
222564;2.C2.05.12.01.01
222565;2.C2.05.12.01.02
222567;2.C2.05.12.01.04
222568;2.C2.05.12.01.05
222570;2.C2.05.12.02.01
222571;2.C2.05.12.02.02
222573;2.C2.05.12.02.04
222574;2.C2.05.12.02.05
222576;2.C2.05.12.03.01
222577;2.C2.05.12.03.02
222579;2.C2.05.12.03.04
222580;2.C2.05.12.03.05
222582;2.C2.05.12.04.01
222583;2.C2.05.12.04.02
222585;2.C2.05.12.04.04
222586;2.C2.05.12.04.05
222588;2.C2.05.12.05.01
222589;2.C2.05.12.05.02
222591;2.C2.05.12.05.04
222592;2.C2.05.12.05.05
222594;2.C2.05.12.06.01
222595;2.C2.05.12.06.02
222597;2.C2.05.12.06.04
222598;2.C2.05.12.06.05
222601;2.C2.05.13.01.01
222602;2.C2.05.13.01.02
222604;2.C2.05.13.01.04
222605;2.C2.05.13.01.05
222607;2.C2.05.13.02.01
222608;2.C2.05.13.02.02
222610;2.C2.05.13.02.04
222611;2.C2.05.13.02.05
222613;2.C2.05.13.03.01
222614;2.C2.05.13.03.02
222616;2.C2.05.13.03.04
222617;2.C2.05.13.03.05
222619;2.C2.05.13.04.01
222620;2.C2.05.13.04.02
222622;2.C2.05.13.04.04
222623;2.C2.05.13.04.05
222625;2.C2.05.13.05.01
222626;2.C2.05.13.05.02
144771;1.A2.05.13.05.01
144772;1.A2.05.13.05.02
144774;1.A2.05.13.05.04
144775;1.A2.05.13.05.05
144777;1.A2.05.13.06.01
144778;1.A2.05.13.06.02
144780;1.A2.05.13.06.04
144781;1.A2.05.13.06.05
144784;1.A2.05.14.01.01
144785;1.A2.05.14.01.02
144787;1.A2.05.14.01.04
144788;1.A2.05.14.01.05
144790;1.A2.05.14.02.01
144791;1.A2.05.14.02.02
144793;1.A2.05.14.02.04
144794;1.A2.05.14.02.05
144796;1.A2.05.14.03.01
144797;1.A2.05.14.03.02
144799;1.A2.05.14.03.04
144800;1.A2.05.14.03.05
144802;1.A2.05.14.04.01
144803;1.A2.05.14.04.02
144805;1.A2.05.14.04.04
144806;1.A2.05.14.04.05
144808;1.A2.05.14.05.01
144809;1.A2.05.14.05.02
144811;1.A2.05.14.05.04
144812;1.A2.05.14.05.05
144814;1.A2.05.14.06.01
144815;1.A2.05.14.06.02
144817;1.A2.05.14.06.04
144818;1.A2.05.14.06.05
144821;1.A2.05.15.01.01
144822;1.A2.05.15.01.02
144824;1.A2.05.15.01.04
